Location,variable,value
EC_005,Gibbs_per_C_Ratio,1.000744177
EC_009,Gibbs_per_C_Ratio,0.997395981
EC_013,Gibbs_per_C_Ratio,1.00059684
EC_017,Gibbs_per_C_Ratio,0.999641015
EC_018,Gibbs_per_C_Ratio,0.996061632
EC_022,Gibbs_per_C_Ratio,0.999537837
EC_023,Gibbs_per_C_Ratio,1.006679697
EC_024,Gibbs_per_C_Ratio,0.998524227
EC_032,Gibbs_per_C_Ratio,0.999206905
EC_037,Gibbs_per_C_Ratio,1.008037668
EC_038,Gibbs_per_C_Ratio,0.998548618
EC_041,Gibbs_per_C_Ratio,0.996474136
EC_051,Gibbs_per_C_Ratio,1.00197596
EC_053,Gibbs_per_C_Ratio,1.003682287
EC_056,Gibbs_per_C_Ratio,0.996379903
EC_057,Gibbs_per_C_Ratio,0.9998475
EC_063,Gibbs_per_C_Ratio,0.995846095
EC_064,Gibbs_per_C_Ratio,1.000324653
EC_065,Gibbs_per_C_Ratio,1.002159086
EC_068,Gibbs_per_C_Ratio,0.998486972
EC_069,Gibbs_per_C_Ratio,1.003935972
EC_070,Gibbs_per_C_Ratio,1.000468867
EC_073,Gibbs_per_C_Ratio,0.997495411
EC_074,Gibbs_per_C_Ratio,0.997753163
EC_078,Gibbs_per_C_Ratio,0.995303764
EC_080,Gibbs_per_C_Ratio,1
EC_082,Gibbs_per_C_Ratio,1.003344041
EC_084,Gibbs_per_C_Ratio,1.000344654
EC_085,Gibbs_per_C_Ratio,1.002017416
EC_089,Gibbs_per_C_Ratio,0.999059399
EC_090,Gibbs_per_C_Ratio,1.00450176
EC_091,Gibbs_per_C_Ratio,0.999581974
EC_092,Gibbs_per_C_Ratio,0.997483241
EC_093,Gibbs_per_C_Ratio,0.999760046
EC_094,Gibbs_per_C_Ratio,1.002469169
EC_095,Gibbs_per_C_Ratio,1.001362316
EC_005,Gibbs_per_compound_Ratio,0.999793585
EC_009,Gibbs_per_compound_Ratio,0.942229749
EC_013,Gibbs_per_compound_Ratio,1.039203819
EC_017,Gibbs_per_compound_Ratio,0.983162975
EC_018,Gibbs_per_compound_Ratio,1.00850608
EC_022,Gibbs_per_compound_Ratio,1.053086582
EC_023,Gibbs_per_compound_Ratio,1.051048759
EC_024,Gibbs_per_compound_Ratio,1.009681572
EC_032,Gibbs_per_compound_Ratio,0.97405839
EC_037,Gibbs_per_compound_Ratio,1.034446704
EC_038,Gibbs_per_compound_Ratio,1.001466321
EC_041,Gibbs_per_compound_Ratio,0.978771215
EC_051,Gibbs_per_compound_Ratio,1.030749923
EC_053,Gibbs_per_compound_Ratio,1.026900393
EC_056,Gibbs_per_compound_Ratio,0.981258454
EC_057,Gibbs_per_compound_Ratio,1.007277348
EC_063,Gibbs_per_compound_Ratio,1.005100044
EC_064,Gibbs_per_compound_Ratio,1.012378026
EC_065,Gibbs_per_compound_Ratio,1.006009433
EC_068,Gibbs_per_compound_Ratio,1.009912327
EC_069,Gibbs_per_compound_Ratio,0.951456839
EC_070,Gibbs_per_compound_Ratio,1.03012964
EC_073,Gibbs_per_compound_Ratio,1.010634874
EC_074,Gibbs_per_compound_Ratio,1.003254104
EC_078,Gibbs_per_compound_Ratio,0.981269912
EC_080,Gibbs_per_compound_Ratio,1.011491458
EC_082,Gibbs_per_compound_Ratio,1.008721246
EC_084,Gibbs_per_compound_Ratio,1.032551297
EC_085,Gibbs_per_compound_Ratio,0.989596906
EC_089,Gibbs_per_compound_Ratio,0.976516927
EC_090,Gibbs_per_compound_Ratio,1.032072697
EC_091,Gibbs_per_compound_Ratio,1.02302541
EC_092,Gibbs_per_compound_Ratio,0.971619836
EC_093,Gibbs_per_compound_Ratio,1.023924763
EC_094,Gibbs_per_compound_Ratio,0.930107198
EC_095,Gibbs_per_compound_Ratio,1.046526341
EC_005,Lambda_Ratio,0.999313365
EC_009,Lambda_Ratio,1.068378517
EC_013,Lambda_Ratio,0.969842481
EC_017,Lambda_Ratio,1.016409428
EC_018,Lambda_Ratio,1.004775882
EC_022,Lambda_Ratio,0.94982988
EC_023,Lambda_Ratio,0.955204505
EC_024,Lambda_Ratio,1.006123479
EC_032,Lambda_Ratio,1.041788486
EC_037,Lambda_Ratio,0.945056596
EC_038,Lambda_Ratio,1.010720216
EC_041,Lambda_Ratio,1.024436062
EC_051,Lambda_Ratio,0.959971205
EC_053,Lambda_Ratio,0.979120875
EC_056,Lambda_Ratio,1.042703568
EC_057,Lambda_Ratio,1.011990509
EC_063,Lambda_Ratio,1.033448522
EC_064,Lambda_Ratio,0.995490722
EC_065,Lambda_Ratio,0.98255266
EC_068,Lambda_Ratio,0.992637364
EC_069,Lambda_Ratio,1.022702885
EC_070,Lambda_Ratio,0.97594596
EC_073,Lambda_Ratio,1.002671104
EC_074,Lambda_Ratio,1
EC_078,Lambda_Ratio,1.029191596
EC_080,Lambda_Ratio,0.995508281
EC_082,Lambda_Ratio,0.99886336
EC_084,Lambda_Ratio,0.971858787
EC_085,Lambda_Ratio,0.990910553
EC_089,Lambda_Ratio,1.036555257
EC_090,Lambda_Ratio,0.960560116
EC_091,Lambda_Ratio,0.985808576
EC_092,Lambda_Ratio,1.028439656
EC_093,Lambda_Ratio,0.97110403
EC_094,Lambda_Ratio,1.058176219
EC_095,Lambda_Ratio,0.967588891
